                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5834,                 3.4593,                 2.1094,                0.48409,                0.56196,                0.48302,                0.18954,                 1.9728,                 2.7835,                 2.1872,              0.0033316,              0.0033316,              0.0033316
                      1,                 1.3925,                 2.1687,                 1.9205,                0.61792,                0.66343,                0.65107,                0.28611,                 1.9568,                 1.6425,                 2.0742,               0.006533,               0.006533,               0.006533
                      2,                 1.3682,                 1.7772,                 1.8933,                0.62245,                0.67337,                0.67507,                 0.3005,                 1.9397,                   1.52,                 2.0584,              0.0096024,              0.0096024,              0.0096024
                      3,                 1.3594,                 1.6217,                 1.8758,                0.66934,                0.70778,                0.73489,                0.34326,                 1.8431,                 1.3458,                 1.9558,               0.009406,               0.009406,               0.009406
                      4,                 1.3095,                 1.4783,                 1.8224,                 0.6861,                0.67747,                0.73658,                 0.3532,                 1.8359,                  1.249,                 1.9756,               0.009406,               0.009406,               0.009406
                      5,                 1.2762,                 1.3858,                 1.7802,                0.65167,                0.72494,                0.74729,                0.36812,                 1.7817,                  1.154,                 1.8691,               0.009208,               0.009208,               0.009208
                      6,                 1.2539,                  1.328,                 1.7583,                0.71563,                0.72791,                0.79532,                0.39982,                 1.7366,                 1.1246,                 1.8169,                0.00901,                0.00901,                0.00901
                      7,                 1.2382,                 1.2731,                 1.7379,                0.70218,                0.76307,                0.79825,                0.40791,                 1.7343,                 1.0793,                 1.7908,               0.008812,               0.008812,               0.008812
                      8,                 1.2118,                 1.2333,                 1.7178,                0.73182,                0.76368,                 0.8237,                0.42893,                 1.7136,                 1.0188,                 1.7702,               0.008614,               0.008614,               0.008614
                      9,                 1.2007,                 1.1953,                 1.7073,                0.72921,                0.75817,                0.81703,                0.43242,                 1.6971,                 1.0137,                 1.7657,               0.008416,               0.008416,               0.008416
                     10,                 1.1839,                  1.171,                 1.6905,                0.75427,                0.79193,                0.84223,                0.43795,                 1.7226,                0.96234,                 1.7731,               0.008218,               0.008218,               0.008218
                     11,                 1.1873,                 1.1466,                 1.6829,                0.74247,                0.79463,                0.84072,                0.44424,                 1.6746,                0.94281,                 1.7228,                0.00802,                0.00802,                0.00802
                     12,                 1.1668,                 1.1184,                 1.6702,                0.80489,                0.80309,                0.86978,                0.46625,                 1.6721,                0.91998,                 1.7351,               0.007822,               0.007822,               0.007822
                     13,                 1.1609,                 1.1056,                 1.6608,                0.80116,                0.78194,                0.86007,                0.45799,                  1.663,                0.90362,                 1.7079,               0.007624,               0.007624,               0.007624
                     14,                 1.1462,                 1.0853,                 1.6497,                0.79256,                0.78641,                0.86034,                0.47042,                 1.6413,                0.90348,                 1.6939,               0.007426,               0.007426,               0.007426
                     15,                 1.1395,                 1.0631,                 1.6418,                0.79601,                 0.8121,                0.87763,                0.47643,                 1.6433,                0.87471,                  1.694,               0.007228,               0.007228,               0.007228
                     16,                 1.1367,                 1.0539,                 1.6384,                0.78775,                0.81157,                0.87301,                 0.4777,                 1.6382,                0.86286,                 1.6676,                0.00703,                0.00703,                0.00703
                     17,                 1.1298,                 1.0301,                 1.6298,                0.76724,                0.83075,                0.87178,                 0.4834,                 1.6233,                0.85935,                 1.6715,               0.006832,               0.006832,               0.006832
                     18,                 1.1312,                 1.0193,                 1.6301,                0.78496,                0.82332,                0.87599,                0.48183,                 1.6362,                0.85556,                 1.6762,               0.006634,               0.006634,               0.006634
                     19,                 1.1202,                 1.0117,                 1.6215,                0.79668,                0.83208,                0.88622,                0.49315,                 1.6136,                   0.83,                 1.6515,               0.006436,               0.006436,               0.006436
                     20,                 1.1097,                0.99399,                 1.6151,                0.78308,                0.83685,                0.87959,                0.49092,                 1.6124,                0.82261,                 1.6477,               0.006238,               0.006238,               0.006238
                     21,                 1.1054,                0.98423,                 1.6064,                0.81161,                0.82358,                 0.8943,                0.50318,                 1.6021,                0.81087,                 1.6482,                0.00604,                0.00604,                0.00604
                     22,                 1.1023,                0.96709,                  1.603,                0.80859,                0.83101,                0.89135,                0.50223,                 1.6008,                0.80586,                 1.6284,               0.005842,               0.005842,               0.005842
